epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,7322.17,0.18909,2.75344,0.18411,0.17447,0.91708,0.98397,0.98537,0.99153,0.97115,0.79362,0.73381,0.70646,0.56708,0.26435,2.79828,0.1895,0.2676,0.61614,0.004852,0.004852,0.004852
28,10081,0.18381,2.68939,0.18259,0.17269,0.91386,0.98558,0.98506,0.99164,0.96945,0.78781,0.73401,0.70854,0.56409,0.24358,2.80528,0.18937,0.25901,0.59209,0.004654,0.004654,0.004654
29,11364.1,0.18343,2.68432,0.18202,0.16881,0.91089,0.98442,0.98367,0.99324,0.97231,0.79194,0.72914,0.72855,0.59049,0.23966,2.7887,0.18744,0.25792,0.58575,0.004456,0.004456,0.004456
30,13688.7,0.182,2.63589,0.17927,0.16925,0.91274,0.98476,0.98566,0.99242,0.97163,0.79351,0.73506,0.7253,0.586,0.24756,2.79362,0.18646,0.25609,0.59629,0.004258,0.004258,0.004258
31,14609.4,0.18066,2.59991,0.17991,0.16763,0.91029,0.98295,0.98706,0.99264,0.97233,0.78851,0.73692,0.71236,0.57435,0.24395,2.75581,0.18568,0.27703,0.59765,0.00406,0.00406,0.00406
32,16272.7,0.17719,2.59317,0.1782,0.16538,0.91036,0.98175,0.98798,0.99283,0.9737,0.78139,0.7378,0.71418,0.5806,0.25039,2.76137,0.18257,0.25821,0.60699,0.003862,0.003862,0.003862
33,18050.6,0.17887,2.61776,0.17712,0.16659,0.91273,0.98538,0.98633,0.99296,0.97185,0.78463,0.74222,0.72287,0.58865,0.25989,2.72584,0.18215,0.27312,0.61906,0.003664,0.003664,0.003664
34,20045.9,0.17172,2.52611,0.17444,0.16248,0.90581,0.98819,0.98194,0.99402,0.97417,0.78442,0.74284,0.72449,0.58914,inf,2.72128,0.1806,0.26347,0.60465,0.003466,0.003466,0.003466
35,21329.2,0.17262,2.48789,0.17519,0.16039,0.90709,0.9869,0.98484,0.99405,0.9744,0.79059,0.74564,0.73296,0.60199,0.24139,2.66507,0.17871,0.25105,0.58925,0.003268,0.003268,0.003268
36,23769.9,0.16878,2.461,0.17238,0.15668,0.90717,0.98201,0.98557,0.99357,0.97574,0.78111,0.74595,0.73428,0.6033,0.23615,2.68007,0.17853,0.24974,0.58421,0.00307,0.00307,0.00307
37,25044.7,0.16622,2.42926,0.17112,0.15447,0.90398,0.98387,0.98755,0.99369,0.97542,0.78769,0.74471,0.74114,0.60875,0.23807,2.65218,0.17728,0.256,0.59173,0.002872,0.002872,0.002872
38,27030.7,0.16403,2.42907,0.17146,0.15463,0.9042,0.98659,0.9847,0.99412,0.97561,0.78547,0.7432,0.72894,0.5992,inf,2.64109,0.1761,0.25072,0.58305,0.002674,0.002674,0.002674
39,28721.1,0.16523,2.36043,0.16965,0.15213,0.90682,0.98567,0.98491,0.9941,0.97701,0.79015,0.74813,0.73794,0.61031,0.22728,2.60912,0.17543,0.24854,0.57119,0.002476,0.002476,0.002476
40,31035.8,0.16125,2.33337,0.16801,0.15081,0.90221,0.98661,0.98664,0.9942,0.97657,0.79431,0.75405,0.74913,0.6156,0.22175,2.58935,0.17449,0.24341,0.56335,0.002278,0.002278,0.002278
41,32304.4,0.13229,2.3953,0.17524,0.1225,0.88762,0.98628,0.98499,0.99412,0.9776,0.79594,0.74969,0.75792,0.62204,0.22367,2.57877,0.17207,0.23776,0.56639,0.00208,0.00208,0.00208
42,34712.2,0.12835,2.40105,0.17339,0.12027,0.8843,0.98604,0.98474,0.99417,0.97711,0.79508,0.75031,0.75984,0.62726,0.22826,2.56603,0.1699,0.23869,0.57324,0.001882,0.001882,0.001882
43,36211.3,0.12702,2.33216,0.1731,0.1186,0.88258,0.9861,0.98568,0.99432,0.97743,0.79898,0.7528,0.76152,0.6307,0.22835,2.55764,0.16866,0.24029,0.57333,0.001684,0.001684,0.001684
